Año,Trimestre,Provincia,Mbps (Media de bajada),Mbps Anterior,Tasa Crecimiento (%),Tasa de Crecimiento Nacional
2019,4,Catamarca,24.87830767046261,9.293407429459826,167.69845031865398,18.884175455077578
2020,1,Catamarca,29.132225012939607,24.87830767046261,17.098901576523087,
2020,2,Catamarca,34.92595642857143,29.132225012939607,19.88770652793748,6.276316256840573
2020,3,Catamarca,36.540436607329845,34.92595642857143,4.6225797196427685,7.858649402260917
2020,4,Catamarca,37.6500877273544,36.540436607329845,3.0367757559907416,4.8531219884997805
2021,1,Catamarca,39.96652623965282,37.6500877273544,6.1525447937148545,
2021,2,Catamarca,42.18506376779111,39.96652623965282,5.550989132343358,11.610982484911398
2021,3,Catamarca,43.43333599763174,42.18506376779111,2.9590383855095737,5.347604194672346
2021,4,Catamarca,46.380057758939095,43.43333599763174,6.784470254525308,9.657630996904675
2022,1,Catamarca,51.22,46.380057758939095,10.435395027355424,
2022,2,Catamarca,56.56,51.22,10.42561499414292,7.445952921123078
2022,3,Catamarca,60.99,56.56,7.832390381895332,6.3322533795106635
2022,4,Catamarca,83.33,60.99,36.628955566486304,72.73424530878985
2023,1,Catamarca,87.41,83.33,4.896195847833911,
2023,2,Catamarca,86.13,87.41,-1.464363345155018,6.70950615695859
2023,3,Catamarca,87.9,86.13,2.0550330895158604,3.3764198552336637
2023,4,Catamarca,89.4,87.9,1.7064846416382253,8.394332752049946
2024,1,Catamarca,91.45,89.4,2.2930648769574913,
2014,2,Chaco,3.4206301023632,3.2558373037444444,5.061456800351554,
2014,3,Chaco,3.461947812450996,3.4206301023632,1.2078976343934675,1.4460894989660875
2014,4,Chaco,3.977400363306085,3.461947812450996,14.88909073098239,7.521960205964795
2015,1,Chaco,4.899908797030372,3.977400363306085,23.19375344345476,
2015,2,Chaco,5.194771414259476,4.899908797030372,6.017716440106137,4.155101136979908
2015,3,Chaco,5.46643296553986,5.194771414259476,5.229518868427626,4.288346523025755
2015,4,Chaco,5.828384180790961,5.46643296553986,6.62134187929907,4.050179325947438
2016,1,Chaco,5.991472683208309,5.828384180790961,2.7981769450759897,
2016,2,Chaco,6.297357510958081,5.991472683208309,5.1053362657739205,3.739131486651722
2016,3,Chaco,6.718220363245951,6.297357510958081,6.68316593992835,6.436662227260549
2016,4,Chaco,7.077531005919823,6.718220363245951,5.348300937545742,4.256204195940437
2017,1,Chaco,7.307905398272823,7.077531005919823,3.255010711508129,
2017,2,Chaco,7.689213433544128,7.307905398272823,5.217747281750874,4.873665540955408
2017,3,Chaco,8.484871287555498,7.689213433544128,10.34771450796669,9.374415462028418
2017,4,Chaco,11.702868121959405,8.484871287555498,37.92628933715995,39.68830573502551
2018,1,Chaco,12.444064678644969,11.702868121959405,6.3334607291248,
2018,2,Chaco,12.499460181995785,12.444064678644969,0.44515602241990276,2.5246675897889332
2018,3,Chaco,12.89496189060927,12.499460181995785,3.164150314132493,8.324331698442114
2018,4,Chaco,13.492083570210347,12.89496189060927,4.630658738401777,5.580367094907888
2019,1,Chaco,13.444236269077935,13.492083570210347,-0.3546324100604896,
2019,2,Chaco,16.01024333099657,13.444236269077935,19.08629847439168,18.259854430743484
2019,3,Chaco,19.994668122685404,16.01024333099657,24.886722264706645,16.888360796658546
2019,4,Chaco,23.37495080016229,19.994668122685404,16.90592040205813,18.884175455077578
2020,1,Chaco,25.942049334121737,23.37495080016229,10.98226283300509,
2020,2,Chaco,27.95228467436429,25.942049334121737,7.748945792029148,6.276316256840573
2020,3,Chaco,30.802726948564217,27.95228467436429,10.197528779513815,7.858649402260917
2020,4,Chaco,32.45204676418101,30.802726948564217,5.3544603968697455,4.8531219884997805
2021,1,Chaco,33.6262012999863,32.45204676418101,3.618121668372735,
2021,2,Chaco,37.39690959622207,33.6262012999863,11.213601746437266,11.610982484911398
2021,3,Chaco,39.113135809207584,37.39690959622207,4.589219353994128,5.347604194672346
2021,4,Chaco,42.342637514688604,39.113135809207584,8.256821240911005,9.657630996904675
2022,1,Chaco,45.84,42.342637514688604,8.259670843834819,
2022,2,Chaco,50.61,45.84,10.405759162303656,7.445952921123078
2022,3,Chaco,53.21,50.61,5.13732463939933,6.3322533795106635
2022,4,Chaco,104.02,53.21,95.48956962976884,72.73424530878985
2023,1,Chaco,104.33,104.02,0.2980196116131535,
2023,2,Chaco,105.45,104.33,1.0735167257739908,6.70950615695859
2023,3,Chaco,107.5,105.45,1.9440493124703622,3.3764198552336637
2023,4,Chaco,107.14,107.5,-0.334883720930232,8.394332752049946
2024,1,Chaco,107.51,107.14,0.3453425424678034,
2014,2,Chubut,3.156405252857589,3.1759166751464583,-0.6143556108243767,
2014,3,Chubut,3.165741790763976,3.156405252857589,0.29579655204079297,1.4460894989660875
2014,4,Chubut,3.174649158131256,3.165741790763976,0.28136746317299455,7.521960205964795
2015,1,Chubut,3.213156577759796,3.174649158131256,1.2129661487131767,
2015,2,Chubut,3.216571647485116,3.213156577759796,0.10628394983790872,4.155101136979908
2015,3,Chubut,3.2790384114749496,3.216571647485116,1.942029304358059,4.288346523025755
2015,4,Chubut,3.283865031613298,3.2790384114749496,0.14719620610290915,4.050179325947438
2016,1,Chubut,3.3796639330714164,3.283865031613298,2.9172606223421593,
2016,2,Chubut,3.335973498985547,3.3796639330714164,-1.292744928226153,3.739131486651722
2016,3,Chubut,3.343866327984636,3.335973498985547,0.23659747301617087,6.436662227260549
2016,4,Chubut,3.407191291444817,3.343866327984636,1.893764799454377,4.256204195940437
2017,1,Chubut,3.4433862008733622,3.407191291444817,1.0623092844662971,
2017,2,Chubut,3.44726909222351,3.4433862008733622,0.11276374834641024,4.873665540955408
2017,3,Chubut,3.4783469156690874,3.44726909222351,0.9015200906620234,9.374415462028418
2017,4,Chubut,5.408238076890145,3.4783469156690874,55.4829983325521,39.68830573502551
