,Año,Trimestre,Provincia,Accesos por cada 100 hogares,acceso_actual,nuevo_acceso,KPI
224,2021,4,Formosa,34.4545746388443,34.4545746388443,34.955686995751336,1.45
200,2022,1,Formosa,34.955686995751336,34.955686995751336,43.42,24.21
176,2022,2,Formosa,43.42,43.42,43.76,0.78
152,2022,3,Formosa,43.76,43.76,39.41,-9.94
128,2022,4,Formosa,39.41,39.41,38.79,-1.57
104,2023,1,Formosa,38.79,38.79,38.32,-1.21
80,2023,2,Formosa,38.32,38.32,38.86,1.41
56,2023,3,Formosa,38.86,38.86,39.23,0.95
32,2023,4,Formosa,39.23,39.23,39.61,0.97
969,2014,1,Jujuy,18.41535244687765,18.41535244687765,18.706060999413573,1.58
945,2014,2,Jujuy,18.706060999413573,18.706060999413573,18.368534215570367,-1.8
921,2014,3,Jujuy,18.368534215570367,18.368534215570367,19.59941818052116,6.7
897,2014,4,Jujuy,19.59941818052116,19.59941818052116,19.68971363262363,0.46
873,2015,1,Jujuy,19.68971363262363,19.68971363262363,20.287219077594944,3.03
849,2015,2,Jujuy,20.287219077594944,20.287219077594944,21.2703333470887,4.85
825,2015,3,Jujuy,21.2703333470887,21.2703333470887,21.47147379391073,0.95
801,2015,4,Jujuy,21.47147379391073,21.47147379391073,21.41001128856396,-0.29
777,2016,1,Jujuy,21.41001128856396,21.41001128856396,21.888281043576683,2.23
753,2016,2,Jujuy,21.888281043576683,21.888281043576683,22.605154265256864,3.28
729,2016,3,Jujuy,22.605154265256864,22.605154265256864,22.651387008241425,0.2
705,2016,4,Jujuy,22.651387008241425,22.651387008241425,22.756985962232346,0.47
681,2017,1,Jujuy,22.756985962232346,22.756985962232346,22.403415894624064,-1.55
657,2017,2,Jujuy,22.403415894624064,22.403415894624064,22.64536299508256,1.08
633,2017,3,Jujuy,22.64536299508256,22.64536299508256,22.742083716267025,0.43
609,2017,4,Jujuy,22.742083716267025,22.742083716267025,23.12126087567753,1.67
585,2018,1,Jujuy,23.12126087567753,23.12126087567753,23.432202729854477,1.34
561,2018,2,Jujuy,23.432202729854477,23.432202729854477,23.26370013719552,-0.72
537,2018,3,Jujuy,23.26370013719552,23.26370013719552,46.53226639132679,100.02
513,2018,4,Jujuy,46.53226639132679,46.53226639132679,46.40843874036665,-0.27
489,2019,1,Jujuy,46.40843874036665,46.40843874036665,44.511922790626045,-4.09
465,2019,2,Jujuy,44.511922790626045,44.511922790626045,44.322486842913605,-0.43
441,2019,3,Jujuy,44.322486842913605,44.322486842913605,45.37754633175065,2.38
417,2019,4,Jujuy,45.37754633175065,45.37754633175065,46.670230639987786,2.85
393,2020,1,Jujuy,46.670230639987786,46.670230639987786,47.887810227872784,2.61
369,2020,2,Jujuy,47.887810227872784,47.887810227872784,54.04441923820905,12.86
345,2020,3,Jujuy,54.04441923820905,54.04441923820905,53.45659123390888,-1.09
321,2020,4,Jujuy,53.45659123390888,53.45659123390888,55.63244789620541,4.07
297,2021,1,Jujuy,55.63244789620541,55.63244789620541,56.182157011467694,0.99
273,2021,2,Jujuy,56.182157011467694,56.182157011467694,55.6892647441935,-0.88
249,2021,3,Jujuy,55.6892647441935,55.6892647441935,56.921070514870486,2.21
225,2021,4,Jujuy,56.921070514870486,56.921070514870486,58.06462866426784,2.01
201,2022,1,Jujuy,58.06462866426784,58.06462866426784,57.32,-1.28
177,2022,2,Jujuy,57.32,57.32,58.91,2.77
153,2022,3,Jujuy,58.91,58.91,58.46,-0.76
129,2022,4,Jujuy,58.46,58.46,58.2,-0.44
105,2023,1,Jujuy,58.2,58.2,57.78,-0.72
81,2023,2,Jujuy,57.78,57.78,57.61,-0.29
57,2023,3,Jujuy,57.61,57.61,57.78,0.3
33,2023,4,Jujuy,57.78,57.78,57.65,-0.22
970,2014,1,La Pampa,48.42532103828204,48.42532103828204,49.70759616034458,2.65
946,2014,2,La Pampa,49.70759616034458,49.70759616034458,55.78120173850417,12.22
922,2014,3,La Pampa,55.78120173850417,55.78120173850417,51.273133452228585,-8.08
898,2014,4,La Pampa,51.273133452228585,51.273133452228585,55.50803232733774,8.26
874,2015,1,La Pampa,55.50803232733774,55.50803232733774,56.70766522530004,2.16
850,2015,2,La Pampa,56.70766522530004,56.70766522530004,57.96395975091518,2.22
826,2015,3,La Pampa,57.96395975091518,57.96395975091518,58.75633720012275,1.37
802,2015,4,La Pampa,58.75633720012275,58.75633720012275,57.84086865504526,-1.56
778,2016,1,La Pampa,57.84086865504526,57.84086865504526,60.43686025737927,4.49
754,2016,2,La Pampa,60.43686025737927,60.43686025737927,61.73178543650905,2.14
730,2016,3,La Pampa,61.73178543650905,61.73178543650905,63.016182768654026,2.08
706,2016,4,La Pampa,63.016182768654026,63.016182768654026,62.66928104575163,-0.55
682,2017,1,La Pampa,62.66928104575163,62.66928104575163,63.49352648099681,1.32
658,2017,2,La Pampa,63.49352648099681,63.49352648099681,69.13993701142644,8.89
634,2017,3,La Pampa,69.13993701142644,69.13993701142644,71.04976106378558,2.76
610,2017,4,La Pampa,71.04976106378558,71.04976106378558,71.75163692275797,0.99
586,2018,1,La Pampa,71.75163692275797,71.75163692275797,71.04033787278055,-0.99
562,2018,2,La Pampa,71.04033787278055,71.04033787278055,71.75023651844843,1.0
538,2018,3,La Pampa,71.75023651844843,71.75023651844843,73.49404828314209,2.43
514,2018,4,La Pampa,73.49404828314209,73.49404828314209,76.35457433780647,3.89
490,2019,1,La Pampa,76.35457433780647,76.35457433780647,77.08313750288404,0.95
466,2019,2,La Pampa,77.08313750288404,77.08313750288404,77.45269423291748,0.48
442,2019,3,La Pampa,77.45269423291748,77.45269423291748,76.92418969170417,-0.68
418,2019,4,La Pampa,76.92418969170417,76.92418969170417,75.76678781291396,-1.5
394,2020,1,La Pampa,75.76678781291396,75.76678781291396,76.10158288987562,0.44
370,2020,2,La Pampa,76.10158288987562,76.10158288987562,79.26447706670275,4.16
346,2020,3,La Pampa,79.26447706670275,79.26447706670275,81.76793248945148,3.16
322,2020,4,La Pampa,81.76793248945148,81.76793248945148,81.77676345752207,0.01
298,2021,1,La Pampa,81.77676345752207,81.77676345752207,82.08000672325404,0.37
274,2021,2,La Pampa,82.08000672325404,82.08000672325404,84.27996309653611,2.68
250,2021,3,La Pampa,84.27996309653611,84.27996309653611,89.56734270241313,6.27
226,2021,4,La Pampa,89.56734270241313,89.56734270241313,91.66332531408716,2.34
202,2022,1,La Pampa,91.66332531408716,91.66332531408716,92.98,1.44
178,2022,2,La Pampa,92.98,92.98,96.59,3.88
154,2022,3,La Pampa,96.59,96.59,94.8,-1.85
130,2022,4,La Pampa,94.8,94.8,96.55,1.85
106,2023,1,La Pampa,96.55,96.55,98.35,1.86
82,2023,2,La Pampa,98.35,98.35,99.0,0.66
58,2023,3,La Pampa,99.0,99.0,99.96,0.97
34,2023,4,La Pampa,99.96,99.96,100.49,0.53
971,2014,1,La Rioja,16.294104815837528,16.294104815837528,16.502564816345664,1.28
947,2014,2,La Rioja,16.502564816345664,16.502564816345664,16.50671327406722,0.03
923,2014,3,La Rioja,16.50671327406722,16.50671327406722,17.01075088723615,3.05
899,2014,4,La Rioja,17.01075088723615,17.01075088723615,16.703201787413843,-1.81
875,2015,1,La Rioja,16.703201787413843,16.703201787413843,16.883190981963825,1.08
851,2015,2,La Rioja,16.883190981963825,16.883190981963825,17.151129442032545,1.59
827,2015,3,La Rioja,17.151129442032545,17.151129442032545,17.315778648410653,0.96
803,2015,4,La Rioja,17.315778648410653,17.315778648410653,16.83351837249417,-2.79
779,2016,1,La Rioja,16.83351837249417,16.83351837249417,16.878902611111524,0.27
755,2016,2,La Rioja,16.878902611111524,16.878902611111524,17.074559106484113,1.16
731,2016,3,La Rioja,17.074559106484113,17.074559106484113,16.45531638401623,-3.63
707,2016,4,La Rioja,16.45531638401623,16.45531638401623,16.19552414605418,-1.58
683,2017,1,La Rioja,16.19552414605418,16.19552414605418,16.203445806143563,0.05
659,2017,2,La Rioja,16.203445806143563,16.203445806143563,51.46525230494696,217.62
635,2017,3,La Rioja,51.46525230494696,51.46525230494696,51.56847440546175,0.2
611,2017,4,La Rioja,51.56847440546175,51.56847440546175,51.44351011244806,-0.24
587,2018,1,La Rioja,51.44351011244806,51.44351011244806,50.97789073923241,-0.91
563,2018,2,La Rioja,50.97789073923241,50.97789073923241,50.73304318059562,-0.48
539,2018,3,La Rioja,50.73304318059562,50.73304318059562,50.347993917417234,-0.76
515,2018,4,La Rioja,50.347993917417234,50.347993917417234,50.184587883262736,-0.32
491,2019,1,La Rioja,50.184587883262736,50.184587883262736,48.70493914424316,-2.95
467,2019,2,La Rioja,48.70493914424316,48.70493914424316,47.94290512174643,-1.56
443,2019,3,La Rioja,47.94290512174643,47.94290512174643,47.13589011052434,-1.68
419,2019,4,La Rioja,47.13589011052434,47.13589011052434,46.346631384166976,-1.67
395,2020,1,La Rioja,46.346631384166976,46.346631384166976,49.83993501839552,7.54
371,2020,2,La Rioja,49.83993501839552,49.83993501839552,50.11811323630268,0.56
347,2020,3,La Rioja,50.11811323630268,50.11811323630268,50.11061211701148,-0.01
323,2020,4,La Rioja,50.11061211701148,50.11061211701148,49.80693519079345,-0.61
299,2021,1,La Rioja,49.80693519079345,49.80693519079345,76.9786615851933,54.55
275,2021,2,La Rioja,76.9786615851933,76.9786615851933,77.26016061386845,0.37
251,2021,3,La Rioja,77.26016061386845,77.26016061386845,77.9234900964576,0.86
227,2021,4,La Rioja,77.9234900964576,77.9234900964576,78.77459866564503,1.09
203,2022,1,La Rioja,78.77459866564503,78.77459866564503,80.14,1.73
179,2022,2,La Rioja,80.14,80.14,80.66,0.65
155,2022,3,La Rioja,80.66,80.66,79.86,-0.99
131,2022,4,La Rioja,79.86,79.86,79.74,-0.15
107,2023,1,La Rioja,79.74,79.74,80.01,0.34
83,2023,2,La Rioja,80.01,80.01,80.44,0.54
59,2023,3,La Rioja,80.44,80.44,80.22,-0.27
35,2023,4,La Rioja,80.22,80.22,80.03,-0.24
972,2014,1,Mendoza,31.91312298660578,31.91312298660578,32.098238150241194,0.58
948,2014,2,Mendoza,32.098238150241194,32.098238150241194,32.313179561655694,0.67
924,2014,3,Mendoza,32.313179561655694,32.313179561655694,32.63838187615034,1.01
900,2014,4,Mendoza,32.63838187615034,32.63838187615034,32.36588756051825,-0.83
876,2015,1,Mendoza,32.36588756051825,32.36588756051825,32.49199583186653,0.39
852,2015,2,Mendoza,32.49199583186653,32.49199583186653,32.49199583186653,0.0
828,2015,3,Mendoza,32.49199583186653,32.49199583186653,32.48895249500142,-0.01
804,2015,4,Mendoza,32.48895249500142,32.48895249500142,32.12333888801278,-1.13
780,2016,1,Mendoza,32.12333888801278,32.12333888801278,32.12597179442594,0.01
756,2016,2,Mendoza,32.12597179442594,32.12597179442594,32.08835884566649,-0.12
732,2016,3,Mendoza,32.08835884566649,32.08835884566649,32.10735338479002,0.06
708,2016,4,Mendoza,32.10735338479002,32.10735338479002,31.843012770179666,-0.82
684,2017,1,Mendoza,31.843012770179666,31.843012770179666,31.75860536139077,-0.27
660,2017,2,Mendoza,31.75860536139077,31.75860536139077,35.70493177720565,12.43
636,2017,3,Mendoza,35.70493177720565,35.70493177720565,33.32562553415048,-6.66
612,2017,4,Mendoza,33.32562553415048,33.32562553415048,37.07215110240331,11.24
588,2018,1,Mendoza,37.07215110240331,37.07215110240331,36.97287272406129,-0.27
564,2018,2,Mendoza,36.97287272406129,36.97287272406129,37.990597267996215,2.75
540,2018,3,Mendoza,37.990597267996215,37.990597267996215,37.757783845911696,-0.61
516,2018,4,Mendoza,37.757783845911696,37.757783845911696,37.657164970282864,-0.27
492,2019,1,Mendoza,37.657164970282864,37.657164970282864,40.754624235362655,8.23
468,2019,2,Mendoza,40.754624235362655,40.754624235362655,40.73714258735342,-0.04
444,2019,3,Mendoza,40.73714258735342,40.73714258735342,33.64903072027183,-17.4
420,2019,4,Mendoza,33.64903072027183,33.64903072027183,33.14207670017271,-1.51
396,2020,1,Mendoza,33.14207670017271,33.14207670017271,36.25224342110005,9.38
372,2020,2,Mendoza,36.25224342110005,36.25224342110005,37.348633137232696,3.02
348,2020,3,Mendoza,37.348633137232696,37.348633137232696,38.62957896227819,3.43
324,2020,4,Mendoza,38.62957896227819,38.62957896227819,39.153661528996416,1.36
300,2021,1,Mendoza,39.153661528996416,39.153661528996416,40.97324182617088,4.65
276,2021,2,Mendoza,40.97324182617088,40.97324182617088,45.54828468056102,11.17
252,2021,3,Mendoza,45.54828468056102,45.54828468056102,47.50531709031775,4.3
228,2021,4,Mendoza,47.50531709031775,47.50531709031775,48.73524093558345,2.59
204,2022,1,Mendoza,48.73524093558345,48.73524093558345,49.39,1.34
180,2022,2,Mendoza,49.39,49.39,51.03,3.32
156,2022,3,Mendoza,51.03,51.03,51.36,0.65
132,2022,4,Mendoza,51.36,51.36,51.4,0.08
108,2023,1,Mendoza,51.4,51.4,52.09,1.34
84,2023,2,Mendoza,52.09,52.09,52.03,-0.12
60,2023,3,Mendoza,52.03,52.03,52.15,0.23
36,2023,4,Mendoza,52.15,52.15,52.59,0.84
973,2014,1,Misiones,23.13653864847733,23.13653864847733,23.367747601299843,1.0
949,2014,2,Misiones,23.367747601299843,23.367747601299843,23.567356954345527,0.85
925,2014,3,Misiones,23.567356954345527,23.567356954345527,24.162430605588312,2.52
901,2014,4,Misiones,24.162430605588312,24.162430605588312,26.305604105190643,8.87
877,2015,1,Misiones,26.305604105190643,26.305604105190643,27.34768244882168,3.96
853,2015,2,Misiones,27.34768244882168,27.34768244882168,28.306345093436885,3.51
829,2015,3,Misiones,28.306345093436885,28.306345093436885,28.68665889154237,1.34
805,2015,4,Misiones,28.68665889154237,28.68665889154237,28.36765259095629,-1.11
781,2016,1,Misiones,28.36765259095629,28.36765259095629,29.239512823021972,3.07
757,2016,2,Misiones,29.239512823021972,29.239512823021972,29.905385775898186,2.28
733,2016,3,Misiones,29.905385775898186,29.905385775898186,29.720149807797423,-0.62
709,2016,4,Misiones,29.720149807797423,29.720149807797423,29.522202363131044,-0.67
685,2017,1,Misiones,29.522202363131044,29.522202363131044,30.089248025085933,1.92
661,2017,2,Misiones,30.089248025085933,30.089248025085933,30.205990933031902,0.39
637,2017,3,Misiones,30.205990933031902,30.205990933031902,31.14218485379854,3.1
613,2017,4,Misiones,31.14218485379854,31.14218485379854,30.95673588446963,-0.6
589,2018,1,Misiones,30.95673588446963,30.95673588446963,31.630907682221824,2.18
565,2018,2,Misiones,31.630907682221824,31.630907682221824,32.10366641805902,1.49
541,2018,3,Misiones,32.10366641805902,32.10366641805902,34.4507488777944,7.31
517,2018,4,Misiones,34.4507488777944,34.4507488777944,36.25716826552349,5.24
493,2019,1,Misiones,36.25716826552349,36.25716826552349,39.14612554169944,7.97
469,2019,2,Misiones,39.14612554169944,39.14612554169944,39.33292986744382,0.48
445,2019,3,Misiones,39.33292986744382,39.33292986744382,39.78923684048622,1.16
421,2019,4,Misiones,39.78923684048622,39.78923684048622,39.01834755171205,-1.94
397,2020,1,Misiones,39.01834755171205,39.01834755171205,40.88779600969606,4.79
373,2020,2,Misiones,40.88779600969606,40.88779600969606,41.60448628544863,1.75
349,2020,3,Misiones,41.60448628544863,41.60448628544863,42.64411416119227,2.5
325,2020,4,Misiones,42.64411416119227,42.64411416119227,43.172438905971845,1.24
301,2021,1,Misiones,43.172438905971845,43.172438905971845,45.0128113119994,4.26
277,2021,2,Misiones,45.0128113119994,45.0128113119994,45.57065365808786,1.24
253,2021,3,Misiones,45.57065365808786,45.57065365808786,49.06462073058497,7.67
229,2021,4,Misiones,49.06462073058497,49.06462073058497,49.04334199772953,-0.04
205,2022,1,Misiones,49.04334199772953,49.04334199772953,51.0,3.99
181,2022,2,Misiones,51.0,51.0,51.82,1.61
157,2022,3,Misiones,51.82,51.82,52.85,1.99
133,2022,4,Misiones,52.85,52.85,53.97,2.12
109,2023,1,Misiones,53.97,53.97,55.18,2.24
85,2023,2,Misiones,55.18,55.18,55.51,0.6
61,2023,3,Misiones,55.51,55.51,56.27,1.37
37,2023,4,Misiones,56.27,56.27,56.76,0.87
974,2014,1,Neuquén,49.79160519138556,49.79160519138556,50.84274905844866,2.11
950,2014,2,Neuquén,50.84274905844866,50.84274905844866,56.39541102706976,10.92
926,2014,3,Neuquén,56.39541102706976,56.39541102706976,52.55498969724957,-6.81
902,2014,4,Neuquén,52.55498969724957,52.55498969724957,51.95443673810251,-1.14
878,2015,1,Neuquén,51.95443673810251,51.95443673810251,53.11733659323144,2.24
854,2015,2,Neuquén,53.11733659323144,53.11733659323144,54.59931489671118,2.79
830,2015,3,Neuquén,54.59931489671118,54.59931489671118,58.2893377687955,6.76
806,2015,4,Neuquén,58.2893377687955,58.2893377687955,55.75393700425406,-4.35
782,2016,1,Neuquén,55.75393700425406,55.75393700425406,59.09828553366204,6.0
758,2016,2,Neuquén,59.09828553366204,59.09828553366204,60.21485088853954,1.89
734,2016,3,Neuquén,60.21485088853954,60.21485088853954,60.873667228199054,1.09
710,2016,4,Neuquén,60.873667228199054,60.873667228199054,61.02302006782746,0.25
686,2017,1,Neuquén,61.02302006782746,61.02302006782746,61.91013427666159,1.45
662,2017,2,Neuquén,61.91013427666159,61.91013427666159,60.8304131050389,-1.74
638,2017,3,Neuquén,60.8304131050389,60.8304131050389,61.24232317785096,0.68
614,2017,4,Neuquén,61.24232317785096,61.24232317785096,61.517390351563726,0.45
590,2018,1,Neuquén,61.517390351563726,61.517390351563726,60.23679161402031,-2.08
566,2018,2,Neuquén,60.23679161402031,60.23679161402031,60.48661674396911,0.41
542,2018,3,Neuquén,60.48661674396911,60.48661674396911,59.06916926636779,-2.34
518,2018,4,Neuquén,59.06916926636779,59.06916926636779,58.87800433437489,-0.32
494,2019,1,Neuquén,58.87800433437489,58.87800433437489,63.0809643276744,7.14
470,2019,2,Neuquén,63.0809643276744,63.0809643276744,64.13887269491578,1.68
446,2019,3,Neuquén,64.13887269491578,64.13887269491578,59.35590092822445,-7.46
422,2019,4,Neuquén,59.35590092822445,59.35590092822445,61.84749362355069,4.2
398,2020,1,Neuquén,61.84749362355069,61.84749362355069,63.89846903376432,3.32
374,2020,2,Neuquén,63.89846903376432,63.89846903376432,65.24417025530218,2.11
350,2020,3,Neuquén,65.24417025530218,65.24417025530218,67.00234522048092,2.69
326,2020,4,Neuquén,67.00234522048092,67.00234522048092,66.84208942045272,-0.24
302,2021,1,Neuquén,66.84208942045272,66.84208942045272,69.14021084638621,3.44
278,2021,2,Neuquén,69.14021084638621,69.14021084638621,69.70653344501615,0.82
254,2021,3,Neuquén,69.70653344501615,69.70653344501615,73.30016254020012,5.16
230,2021,4,Neuquén,73.30016254020012,73.30016254020012,74.17305509992715,1.19
206,2022,1,Neuquén,74.17305509992715,74.17305509992715,80.02,7.88
182,2022,2,Neuquén,80.02,80.02,80.37,0.44
158,2022,3,Neuquén,80.37,80.37,78.67,-2.12
134,2022,4,Neuquén,78.67,78.67,78.55,-0.15
110,2023,1,Neuquén,78.55,78.55,78.97,0.53
86,2023,2,Neuquén,78.97,78.97,79.97,1.27
62,2023,3,Neuquén,79.97,79.97,79.91,-0.08
38,2023,4,Neuquén,79.91,79.91,79.5,-0.51
975,2014,1,Río Negro,44.913957131788514,44.913957131788514,45.33491032014632,0.94
951,2014,2,Río Negro,45.33491032014632,45.33491032014632,46.19618715783015,1.9
927,2014,3,Río Negro,46.19618715783015,46.19618715783015,45.47806275120403,-1.55
903,2014,4,Río Negro,45.47806275120403,45.47806275120403,45.32694907202778,-0.33
879,2015,1,Río Negro,45.32694907202778,45.32694907202778,45.97612013432327,1.43
855,2015,2,Río Negro,45.97612013432327,45.97612013432327,46.389186656745146,0.9
831,2015,3,Río Negro,46.389186656745146,46.389186656745146,46.43948111494307,0.11
807,2015,4,Río Negro,46.43948111494307,46.43948111494307,45.83512638708331,-1.3
783,2016,1,Río Negro,45.83512638708331,45.83512638708331,46.24011307812744,0.88
759,2016,2,Río Negro,46.24011307812744,46.24011307812744,46.38796536215942,0.32
735,2016,3,Río Negro,46.38796536215942,46.38796536215942,46.38521035065572,-0.01
711,2016,4,Río Negro,46.38521035065572,46.38521035065572,46.02953874119518,-0.77
687,2017,1,Río Negro,46.02953874119518,46.02953874119518,46.02080512293318,-0.02
663,2017,2,Río Negro,46.02080512293318,46.02080512293318,48.51865893950063,5.43
639,2017,3,Río Negro,48.51865893950063,48.51865893950063,49.37562976824529,1.77
615,2017,4,Río Negro,49.37562976824529,49.37562976824529,49.816861312232405,0.89
591,2018,1,Río Negro,49.816861312232405,49.816861312232405,50.1478946239634,0.66
567,2018,2,Río Negro,50.1478946239634,50.1478946239634,50.54264808703746,0.79
543,2018,3,Río Negro,50.54264808703746,50.54264808703746,51.86140345426057,2.61
519,2018,4,Río Negro,51.86140345426057,51.86140345426057,53.57164978100252,3.3
495,2019,1,Río Negro,53.57164978100252,53.57164978100252,61.0942074999118,14.04
471,2019,2,Río Negro,61.0942074999118,61.0942074999118,63.42470088700958,3.81
447,2019,3,Río Negro,63.42470088700958,63.42470088700958,55.70500968287489,-12.17
423,2019,4,Río Negro,55.70500968287489,55.70500968287489,55.11566865962362,-1.06
399,2020,1,Río Negro,55.11566865962362,55.11566865962362,56.36933524879196,2.27
375,2020,2,Río Negro,56.36933524879196,56.36933524879196,57.05240591584501,1.21
351,2020,3,Río Negro,57.05240591584501,57.05240591584501,61.08861548045476,7.07
327,2020,4,Río Negro,61.08861548045476,61.08861548045476,60.87924030325769,-0.34
303,2021,1,Río Negro,60.87924030325769,60.87924030325769,61.94204057417748,1.75
279,2021,2,Río Negro,61.94204057417748,61.94204057417748,61.967213114754095,0.04
255,2021,3,Río Negro,61.967213114754095,61.967213114754095,65.69489961160652,6.02
231,2021,4,Río Negro,65.69489961160652,65.69489961160652,67.03640754987029,2.04
207,2022,1,Río Negro,67.03640754987029,67.03640754987029,67.85,1.21
183,2022,2,Río Negro,67.85,67.85,67.98,0.19
159,2022,3,Río Negro,67.98,67.98,68.42,0.65
135,2022,4,Río Negro,68.42,68.42,69.16,1.08
111,2023,1,Río Negro,69.16,69.16,68.56,-0.87
87,2023,2,Río Negro,68.56,68.56,68.4,-0.23
63,2023,3,Río Negro,68.4,68.4,70.26,2.72
39,2023,4,Río Negro,70.26,70.26,71.14,1.25
976,2014,1,Salta,28.69955950963068,28.69955950963068,28.91459400086288,0.75
952,2014,2,Salta,28.91459400086288,28.91459400086288,29.2226843537979,1.07
928,2014,3,Salta,29.2226843537979,29.2226843537979,29.534861619577978,1.07
904,2014,4,Salta,29.534861619577978,29.534861619577978,30.00978823344275,1.61
880,2015,1,Salta,30.00978823344275,30.00978823344275,30.46112384270092,1.5
856,2015,2,Salta,30.46112384270092,30.46112384270092,31.175945212858437,2.35
832,2015,3,Salta,31.175945212858437,31.175945212858437,31.593492648071862,1.34
808,2015,4,Salta,31.593492648071862,31.593492648071862,31.315545971153234,-0.88
784,2016,1,Salta,31.315545971153234,31.315545971153234,32.08172602508202,2.45
760,2016,2,Salta,32.08172602508202,32.08172602508202,32.95583168118035,2.72
736,2016,3,Salta,32.95583168118035,32.95583168118035,32.69411973937546,-0.79
712,2016,4,Salta,32.69411973937546,32.69411973937546,32.57548931482305,-0.36
688,2017,1,Salta,32.57548931482305,32.57548931482305,32.739420263626215,0.5
664,2017,2,Salta,32.739420263626215,32.739420263626215,39.839700806907416,21.69
640,2017,3,Salta,39.839700806907416,39.839700806907416,39.79624247145896,-0.11
616,2017,4,Salta,39.79624247145896,39.79624247145896,39.7755916329188,-0.05
592,2018,1,Salta,39.7755916329188,39.7755916329188,39.93719209989731,0.41
568,2018,2,Salta,39.93719209989731,39.93719209989731,39.42741342068409,-1.28
544,2018,3,Salta,39.42741342068409,39.42741342068409,39.80161006973815,0.95
520,2018,4,Salta,39.80161006973815,39.80161006973815,40.09834441771615,0.75
496,2019,1,Salta,40.09834441771615,40.09834441771615,41.89319832036978,4.48
472,2019,2,Salta,41.89319832036978,41.89319832036978,44.47617792228716,6.17
448,2019,3,Salta,44.47617792228716,44.47617792228716,50.35463892238824,13.22
424,2019,4,Salta,50.35463892238824,50.35463892238824,49.59568027012866,-1.51
400,2020,1,Salta,49.59568027012866,49.59568027012866,51.58158335340357,4.0
376,2020,2,Salta,51.58158335340357,51.58158335340357,52.31571212848803,1.42
352,2020,3,Salta,52.31571212848803,52.31571212848803,54.04275200147659,3.3
328,2020,4,Salta,54.04275200147659,54.04275200147659,53.93001926339093,-0.21
304,2021,1,Salta,53.93001926339093,53.93001926339093,54.930090174788894,1.85
280,2021,2,Salta,54.930090174788894,54.930090174788894,55.9642780595842,1.88
256,2021,3,Salta,55.9642780595842,55.9642780595842,56.81442605762217,1.52
232,2021,4,Salta,56.81442605762217,56.81442605762217,56.10759340849759,-1.24
208,2022,1,Salta,56.10759340849759,56.10759340849759,57.54,2.55
184,2022,2,Salta,57.54,57.54,57.76,0.38
160,2022,3,Salta,57.76,57.76,57.96,0.35
136,2022,4,Salta,57.96,57.96,57.67,-0.5
112,2023,1,Salta,57.67,57.67,57.48,-0.33
88,2023,2,Salta,57.48,57.48,57.57,0.16
64,2023,3,Salta,57.57,57.57,56.98,-1.02
40,2023,4,Salta,56.98,56.98,56.3,-1.19
977,2014,1,San Juan,27.59549302299609,27.59549302299609,27.782697817958912,0.68
953,2014,2,San Juan,27.782697817958912,27.782697817958912,27.854244478102743,0.26
929,2014,3,San Juan,27.854244478102743,27.854244478102743,28.037145714560676,0.66
905,2014,4,San Juan,28.037145714560676,28.037145714560676,27.553192759766446,-1.73
881,2015,1,San Juan,27.553192759766446,27.553192759766446,27.64305342045848,0.33
857,2015,2,San Juan,27.64305342045848,27.64305342045848,27.66538565566005,0.08
833,2015,3,San Juan,27.66538565566005,27.66538565566005,27.6648539357743,-0.0
809,2015,4,San Juan,27.6648539357743,27.6648539357743,27.330794110004312,-1.21
785,2016,1,San Juan,27.330794110004312,27.330794110004312,27.34078151409113,0.04
761,2016,2,San Juan,27.34078151409113,27.34078151409113,27.31712713599077,-0.09
737,2016,3,San Juan,27.31712713599077,27.31712713599077,27.292421452197058,-0.09
713,2016,4,San Juan,27.292421452197058,27.292421452197058,27.03676098842391,-0.94
689,2017,1,San Juan,27.03676098842391,27.03676098842391,26.96461612024698,-0.27
665,2017,2,San Juan,26.96461612024698,26.96461612024698,32.36688935995978,20.03
641,2017,3,San Juan,32.36688935995978,32.36688935995978,30.29992919128174,-6.39
617,2017,4,San Juan,30.29992919128174,30.29992919128174,32.60917745169287,7.62
593,2018,1,San Juan,32.60917745169287,32.60917745169287,32.94664884868421,1.03
569,2018,2,San Juan,32.94664884868421,32.94664884868421,33.05141650392377,0.32
545,2018,3,San Juan,33.05141650392377,33.05141650392377,31.89625207025579,-3.5
521,2018,4,San Juan,31.89625207025579,31.89625207025579,31.833058053465464,-0.2
497,2019,1,San Juan,31.833058053465464,31.833058053465464,35.59971733748176,11.83
473,2019,2,San Juan,35.59971733748176,35.59971733748176,37.06231303554226,4.11
449,2019,3,San Juan,37.06231303554226,37.06231303554226,32.85497572815534,-11.35
425,2019,4,San Juan,32.85497572815534,32.85497572815534,32.392292136304725,-1.41
401,2020,1,San Juan,32.392292136304725,32.392292136304725,35.09485776365026,8.34
377,2020,2,San Juan,35.09485776365026,35.09485776365026,38.78995525412846,10.53
353,2020,3,San Juan,38.78995525412846,38.78995525412846,36.32088215575813,-6.37
329,2020,4,San Juan,36.32088215575813,36.32088215575813,39.055194335357605,7.53
305,2021,1,San Juan,39.055194335357605,39.055194335357605,39.28402570062062,0.59
281,2021,2,San Juan,39.28402570062062,39.28402570062062,39.4554480019856,0.44
257,2021,3,San Juan,39.4554480019856,39.4554480019856,39.588851864871685,0.34
