,Año,Trimestre,Provincia,Accesos por cada 100 hogares,acceso_actual,nuevo_acceso,KPI
532,2018,3,Chubut,56.39174585226903,56.39174585226903,42.61093609604538,-24.44
508,2018,4,Chubut,42.61093609604538,42.61093609604538,42.99773633717796,0.91
484,2019,1,Chubut,42.99773633717796,42.99773633717796,46.98798413626923,9.28
460,2019,2,Chubut,46.98798413626923,46.98798413626923,47.56624162293312,1.23
436,2019,3,Chubut,47.56624162293312,47.56624162293312,51.14501785514712,7.52
412,2019,4,Chubut,51.14501785514712,51.14501785514712,51.26848941909703,0.24
388,2020,1,Chubut,51.26848941909703,51.26848941909703,57.344613387235526,11.85
364,2020,2,Chubut,57.344613387235526,57.344613387235526,68.34389815720037,19.18
340,2020,3,Chubut,68.34389815720037,68.34389815720037,68.35189915825622,0.01
316,2020,4,Chubut,68.35189915825622,68.35189915825622,68.9942808881567,0.94
292,2021,1,Chubut,68.9942808881567,68.9942808881567,72.29410481936469,4.78
268,2021,2,Chubut,72.29410481936469,72.29410481936469,80.70973847657562,11.64
244,2021,3,Chubut,80.70973847657562,80.70973847657562,82.57340063871433,2.31
220,2021,4,Chubut,82.57340063871433,82.57340063871433,88.05274093835774,6.64
196,2022,1,Chubut,88.05274093835774,88.05274093835774,83.19,-5.52
172,2022,2,Chubut,83.19,83.19,84.38,1.43
148,2022,3,Chubut,84.38,84.38,85.57,1.41
124,2022,4,Chubut,85.57,85.57,85.89,0.37
100,2023,1,Chubut,85.89,85.89,82.49,-3.96
76,2023,2,Chubut,82.49,82.49,84.23,2.11
52,2023,3,Chubut,84.23,84.23,84.96,0.87
28,2023,4,Chubut,84.96,84.96,84.89,-0.08
966,2014,1,Corrientes,22.31671671383888,22.31671671383888,22.575613003243586,1.16
942,2014,2,Corrientes,22.575613003243586,22.575613003243586,22.78753503515243,0.94
918,2014,3,Corrientes,22.78753503515243,22.78753503515243,23.56243099277512,3.4
894,2014,4,Corrientes,23.56243099277512,23.56243099277512,28.95019128190928,22.87
870,2015,1,Corrientes,28.95019128190928,28.95019128190928,29.584012668108493,2.19
846,2015,2,Corrientes,29.584012668108493,29.584012668108493,30.16741240901903,1.97
822,2015,3,Corrientes,30.16741240901903,30.16741240901903,30.33643144533882,0.56
798,2015,4,Corrientes,30.33643144533882,30.33643144533882,30.080785004133052,-0.84
774,2016,1,Corrientes,30.080785004133052,30.080785004133052,30.58016204661656,1.66
750,2016,2,Corrientes,30.58016204661656,30.58016204661656,31.066878826051184,1.59
726,2016,3,Corrientes,31.066878826051184,31.066878826051184,30.98107037649768,-0.28
702,2016,4,Corrientes,30.98107037649768,30.98107037649768,30.940600109644144,-0.13
678,2017,1,Corrientes,30.940600109644144,30.940600109644144,31.38612136835505,1.44
654,2017,2,Corrientes,31.38612136835505,31.38612136835505,32.16543574593796,2.48
630,2017,3,Corrientes,32.16543574593796,32.16543574593796,32.51511831118755,1.09
606,2017,4,Corrientes,32.51511831118755,32.51511831118755,32.66346087317512,0.46
582,2018,1,Corrientes,32.66346087317512,32.66346087317512,33.80975390881165,3.51
558,2018,2,Corrientes,33.80975390881165,33.80975390881165,34.24993887383215,1.3
534,2018,3,Corrientes,34.24993887383215,34.24993887383215,34.56627656869549,0.92
510,2018,4,Corrientes,34.56627656869549,34.56627656869549,35.13498688698812,1.65
486,2019,1,Corrientes,35.13498688698812,35.13498688698812,38.15558588418795,8.6
462,2019,2,Corrientes,38.15558588418795,38.15558588418795,38.48535113586719,0.86
438,2019,3,Corrientes,38.48535113586719,38.48535113586719,38.767440989262106,0.73
414,2019,4,Corrientes,38.767440989262106,38.767440989262106,38.7290799422309,-0.1
390,2020,1,Corrientes,38.7290799422309,38.7290799422309,40.30476267979574,4.07
366,2020,2,Corrientes,40.30476267979574,40.30476267979574,41.750749470464434,3.59
342,2020,3,Corrientes,41.750749470464434,41.750749470464434,42.42828394694903,1.62
318,2020,4,Corrientes,42.42828394694903,42.42828394694903,42.664128438821415,0.56
294,2021,1,Corrientes,42.664128438821415,42.664128438821415,43.5411637336848,2.06
270,2021,2,Corrientes,43.5411637336848,43.5411637336848,44.90088312664412,3.12
246,2021,3,Corrientes,44.90088312664412,44.90088312664412,45.51016102946347,1.36
222,2021,4,Corrientes,45.51016102946347,45.51016102946347,47.644635141502334,4.69
198,2022,1,Corrientes,47.644635141502334,47.644635141502334,48.35,1.48
174,2022,2,Corrientes,48.35,48.35,48.21,-0.29
150,2022,3,Corrientes,48.21,48.21,51.64,7.11
126,2022,4,Corrientes,51.64,51.64,52.05,0.79
102,2023,1,Corrientes,52.05,52.05,52.37,0.61
78,2023,2,Corrientes,52.37,52.37,52.78,0.78
54,2023,3,Corrientes,52.78,52.78,52.56,-0.42
30,2023,4,Corrientes,52.56,52.56,51.94,-1.18
965,2014,1,Córdoba,52.51784754400632,52.51784754400632,53.448126115626,1.77
941,2014,2,Córdoba,53.448126115626,53.448126115626,54.23361028299935,1.47
917,2014,3,Córdoba,54.23361028299935,54.23361028299935,54.69689679332299,0.85
893,2014,4,Córdoba,54.69689679332299,54.69689679332299,54.69734650188214,0.0
869,2015,1,Córdoba,54.69734650188214,54.69734650188214,55.86916350781819,2.14
845,2015,2,Córdoba,55.86916350781819,55.86916350781819,57.08340378951846,2.17
821,2015,3,Córdoba,57.08340378951846,57.08340378951846,57.364881766079215,0.49
797,2015,4,Córdoba,57.364881766079215,57.364881766079215,55.283092783740216,-3.63
773,2016,1,Córdoba,55.283092783740216,55.283092783740216,57.54798052828644,4.1
749,2016,2,Córdoba,57.54798052828644,57.54798052828644,58.24381625803197,1.21
725,2016,3,Córdoba,58.24381625803197,58.24381625803197,57.696719154378975,-0.94
701,2016,4,Córdoba,57.696719154378975,57.696719154378975,57.65332959287443,-0.08
677,2017,1,Córdoba,57.65332959287443,57.65332959287443,58.973528908003566,2.29
653,2017,2,Córdoba,58.973528908003566,58.973528908003566,62.30700225296333,5.65
629,2017,3,Córdoba,62.30700225296333,62.30700225296333,63.33262565207773,1.65
605,2017,4,Córdoba,63.33262565207773,63.33262565207773,63.51716965201617,0.29
581,2018,1,Córdoba,63.51716965201617,63.51716965201617,63.2743661231958,-0.38
557,2018,2,Córdoba,63.2743661231958,63.2743661231958,64.24210026029336,1.53
533,2018,3,Córdoba,64.24210026029336,64.24210026029336,65.08926459112368,1.32
509,2018,4,Córdoba,65.08926459112368,65.08926459112368,65.5173840768055,0.66
485,2019,1,Córdoba,65.5173840768055,65.5173840768055,68.07130938789848,3.9
461,2019,2,Córdoba,68.07130938789848,68.07130938789848,68.59234901069021,0.77
437,2019,3,Córdoba,68.59234901069021,68.59234901069021,70.48295566244217,2.76
413,2019,4,Córdoba,70.48295566244217,70.48295566244217,70.6880744339108,0.29
389,2020,1,Córdoba,70.6880744339108,70.6880744339108,72.71358531242393,2.87
365,2020,2,Córdoba,72.71358531242393,72.71358531242393,75.22035723669207,3.45
341,2020,3,Córdoba,75.22035723669207,75.22035723669207,78.07960876338194,3.8
317,2020,4,Córdoba,78.07960876338194,78.07960876338194,78.59028062380018,0.65
293,2021,1,Córdoba,78.59028062380018,78.59028062380018,80.11518795931242,1.94
269,2021,2,Córdoba,80.11518795931242,80.11518795931242,81.2845665540848,1.46
245,2021,3,Córdoba,81.2845665540848,81.2845665540848,84.50941853046088,3.97
221,2021,4,Córdoba,84.50941853046088,84.50941853046088,85.75745356313551,1.48
197,2022,1,Córdoba,85.75745356313551,85.75745356313551,87.48,2.01
173,2022,2,Córdoba,87.48,87.48,88.31,0.95
149,2022,3,Córdoba,88.31,88.31,89.03,0.82
125,2022,4,Córdoba,89.03,89.03,88.84,-0.21
101,2023,1,Córdoba,88.84,88.84,90.13,1.45
77,2023,2,Córdoba,90.13,90.13,90.05,-0.09
53,2023,3,Córdoba,90.05,90.05,90.67,0.69
29,2023,4,Córdoba,90.67,90.67,90.7,0.03
967,2014,1,Entre Ríos,34.367121821250166,34.367121821250166,34.687432371459764,0.93
943,2014,2,Entre Ríos,34.687432371459764,34.687432371459764,34.981647333712985,0.85
919,2014,3,Entre Ríos,34.981647333712985,34.981647333712985,36.0254708519679,2.98
895,2014,4,Entre Ríos,36.0254708519679,36.0254708519679,42.06519337351208,16.77
871,2015,1,Entre Ríos,42.06519337351208,42.06519337351208,42.93197901645878,2.06
847,2015,2,Entre Ríos,42.93197901645878,42.93197901645878,43.67718163526334,1.74
823,2015,3,Entre Ríos,43.67718163526334,43.67718163526334,44.10854807300098,0.99
799,2015,4,Entre Ríos,44.10854807300098,44.10854807300098,43.84596814466226,-0.6
775,2016,1,Entre Ríos,43.84596814466226,43.84596814466226,44.73887454518738,2.04
751,2016,2,Entre Ríos,44.73887454518738,44.73887454518738,45.43514088447326,1.56
727,2016,3,Entre Ríos,45.43514088447326,45.43514088447326,45.208402854677,-0.5
703,2016,4,Entre Ríos,45.208402854677,45.208402854677,44.907273687041226,-0.67
679,2017,1,Entre Ríos,44.907273687041226,44.907273687041226,45.38933102824724,1.07
655,2017,2,Entre Ríos,45.38933102824724,45.38933102824724,45.95812167017718,1.25
631,2017,3,Entre Ríos,45.95812167017718,45.95812167017718,47.885245293746834,4.19
607,2017,4,Entre Ríos,47.885245293746834,47.885245293746834,48.68120241785722,1.66
583,2018,1,Entre Ríos,48.68120241785722,48.68120241785722,49.20261187052838,1.07
559,2018,2,Entre Ríos,49.20261187052838,49.20261187052838,50.22201385837749,2.07
535,2018,3,Entre Ríos,50.22201385837749,50.22201385837749,54.37477348639939,8.27
511,2018,4,Entre Ríos,54.37477348639939,54.37477348639939,56.78815996169284,4.44
487,2019,1,Entre Ríos,56.78815996169284,56.78815996169284,57.47823458872391,1.22
463,2019,2,Entre Ríos,57.47823458872391,57.47823458872391,57.90009945796624,0.73
439,2019,3,Entre Ríos,57.90009945796624,57.90009945796624,57.99221691704514,0.16
415,2019,4,Entre Ríos,57.99221691704514,57.99221691704514,56.12006051437216,-3.23
391,2020,1,Entre Ríos,56.12006051437216,56.12006051437216,56.538654739709614,0.75
367,2020,2,Entre Ríos,56.538654739709614,56.538654739709614,58.1901640924315,2.92
