Año,Trimestre,Provincia,Banda ancha fija,Dial up
2022,3,Córdoba,1038600,68.0
2022,3,Corrientes,144842,4.0
2022,3,Entre Ríos,268937,22.0
2022,3,Formosa,68537,1.0
2022,3,Jujuy,118823,0.0
2022,3,La Pampa,115921,171.0
2022,3,La Rioja,86860,4.0
2022,3,Mendoza,288746,777.0
2022,3,Misiones,182157,0.0
2022,3,Neuquén,162693,468.0
2022,3,Río Negro,160010,548.0
2022,3,Salta,204536,5.0
2022,3,San Juan,103118,281.0
2022,3,San Luis,121888,182.0
2022,3,Santa Cruz,49312,198.0
2022,3,Santa Fe,887700,110.0
2022,3,Santiago Del Estero,119030,2.0
2022,3,Tierra Del Fuego,53584,312.0
2022,3,Tucumán,263087,30.0
2022,2,Buenos Aires,4660984,6199.0
2022,2,Capital Federal,1534626,2145.0
2022,2,Catamarca,67007,1.0
2022,2,Chaco,143559,5.0
2022,2,Chubut,161901,904.0
2022,2,Córdoba,1026367,68.0
2022,2,Corrientes,144993,4.0
2022,2,Entre Ríos,269330,22.0
2022,2,Formosa,67881,0.0
2022,2,Jujuy,115314,0.0
2022,2,La Pampa,111356,171.0
2022,2,La Rioja,86026,4.0
2022,2,Mendoza,278785,777.0
2022,2,Misiones,178813,0.0
2022,2,Neuquén,161500,468.0
2022,2,Río Negro,159216,548.0
2022,2,Salta,203172,5.0
2022,2,San Juan,100126,281.0
2022,2,San Luis,121559,182.0
2022,2,Santa Cruz,48987,198.0
2022,2,Santa Fe,878749,110.0
2022,2,Santiago Del Estero,118042,2.0
2022,2,Tierra Del Fuego,53458,312.0
2022,2,Tucumán,254497,30.0
2022,1,Buenos Aires,4549131,6293.0
2022,1,Capital Federal,1415378,2163.0
2022,1,Catamarca,62377,1.0
2022,1,Chaco,144114,5.0
2022,1,Chubut,170701,927.0
2022,1,Córdoba,1003729,74.0
2022,1,Corrientes,142574,4.0
2022,1,Entre Ríos,267904,22.0
2022,1,Formosa,54548,0.0
2022,1,Jujuy,116509,0.0
2022,1,La Pampa,109560,172.0
2022,1,La Rioja,84299,4.0
2022,1,Mendoza,274399,786.0
2022,1,Misiones,171508,0.0
